"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"Comanche","10-14 years",".",7937,"."
,"15-17 years",54,4700,11.5
,"18-19 years",139,4196,33.1
,"20-24 years",646,12207,52.9
,"25-29 years",604,10972,55.0
,"30-34 years",352,9964,35.3
,"35-39 years",129,7745,16.7
,"40-44 years",29,7467,3.9
,"Unknown Age",".",".","."
"Cotton","15-17 years",6,285,21.1
,"18-19 years",7,129,54.3
,"20-24 years",28,387,72.4
,"25-29 years",17,298,57.0
,"30-34 years",17,353,48.2
,"35-39 years",".",315,"."
,"40-44 years",".",389,"."
"Craig","10-14 years",".",945,"."
,"15-17 years",9,588,15.3
,"18-19 years",11,317,34.7
,"20-24 years",55,887,62.0
,"25-29 years",42,809,51.9
,"30-34 years",32,791,40.5
,"35-39 years",12,874,13.7
,"40-44 years",".",916,"."
"Creek","15-17 years",26,3087,8.4
,"18-19 years",80,1582,50.6
,"20-24 years",273,4192,65.1
,"25-29 years",246,3983,61.8
,"30-34 years",163,4210,38.7
,"35-39 years",56,4013,14.0
,"40-44 years",12,4496,2.7
,"Unknown Age",".",".","."
"Custer","10-14 years",".",1898,"."
,"15-17 years",19,1009,18.8
,"18-19 years",31,1187,26.1
,"20-24 years",156,3964,39.4
,"25-29 years",166,2162,76.8
,"30-34 years",101,1979,51.0
,"35-39 years",24,1460,16.4
,"40-44 years",".",1472,"."
"Delaware","15-17 years",20,1637,12.2
,"18-19 years",50,890,56.2
,"20-24 years",142,2149,66.1
,"25-29 years",123,1943,63.3
,"30-34 years",54,2014,26.8
,"35-39 years",23,2063,11.1
,"40-44 years",5,2410,2.1
,"45-54 years",".",5539,"."
"Dewey","18-19 years",6,112,53.6
,"20-24 years",22,241,91.3
,"25-29 years",22,238,92.4
,"30-34 years",14,280,50.0
,"35-39 years",7,263,26.6
,"40-44 years",".",243,"."
"Ellis","18-19 years",".",89,"."
,"20-24 years",10,182,54.9
,"25-29 years",10,160,62.5
,"30-34 years",8,239,33.5
,"35-39 years",6,250,24.0
,"40-44 years",".",231,"."
"Garfield","15-17 years",20,2443,8.2
,"18-19 years",73,1343,54.4
,"20-24 years",288,4382,65.7
,"25-29 years",302,4382,68.9
,"30-34 years",192,4431,43.3
,"35-39 years",70,3476,20.1
,"40-44 years",10,3372,3.0
"Garvin","15-17 years",11,1100,10.0
,"18-19 years",44,598,73.6
,"20-24 years",130,1600,81.3
,"25-29 years",124,1556,79.7
,"30-34 years",65,1765,36.8
,"35-39 years",15,1575,9.5
,"40-44 years",5,1686,3.0
"Grady","15-17 years",18,2367,7.6
,"18-19 years",39,1249,31.2
,"20-24 years",197,3333,59.1
,"25-29 years",189,3084,61.3
,"30-34 years",126,3593,35.1
,"35-39 years",48,3229,14.9
,"40-44 years",10,3477,2.9
,"45-54 years",".",7587,"."
"Grant","15-17 years",".",165,"."
,"18-19 years",".",99,"."
,"20-24 years",18,218,82.6
,"25-29 years",20,224,89.3
,"30-34 years",11,235,46.8
,"35-39 years",".",234,"."
"Greer","15-17 years",".",191,"."
,"18-19 years",6,113,53.1
,"20-24 years",31,394,78.7
,"25-29 years",23,514,44.7
,"30-34 years",10,475,21.1
,"35-39 years",".",387,"."
,"40-44 years",".",395,"."
"Harmon","15-17 years",".",107,"."
,"18-19 years",5,65,76.9
,"20-24 years",14,169,82.8
,"25-29 years",11,148,74.3
,"30-34 years",5,196,25.5
,"35-39 years",".",143,"."
,"40-44 years",".",156,"."
"Harper","15-17 years",".",146,"."
,"18-19 years",".",80,"."
,"20-24 years",20,204,98.0
,"25-29 years",25,197,126.9
,"30-34 years",16,268,59.7
,"35-39 years",7,226,31.0
,"40-44 years",".",172,"."
"Haskell","10-14 years",".",942,"."
,"15-17 years",9,532,16.9
,"18-19 years",12,300,40.0
,"20-24 years",68,764,89.0
,"25-29 years",57,712,80.1
,"30-34 years",22,787,28.0
,"35-39 years",6,704,8.5
,"40-44 years",".",748,"."
"Hughes","10-14 years",".",866,"."
,"15-17 years",".",537,"."
,"18-19 years",15,295,50.8
,"20-24 years",59,864,68.3
,"25-29 years",37,863,42.9
,"30-34 years",23,937,24.5
,"35-39 years",6,851,7.1
,"40-44 years",".",853,"."
"Jackson","10-14 years",".",1743,"."
,"15-17 years",16,1003,16.0
,"18-19 years",28,722,38.8
,"20-24 years",142,2208,64.3
,"25-29 years",122,1985,61.5
,"30-34 years",91,1815,50.1
,"35-39 years",33,1546,21.3
,"40-44 years",".",1425,"."
"Jefferson","15-17 years",".",239,"."
,"18-19 years",11,127,86.6
,"20-24 years",32,346,92.5
,"25-29 years",22,338,65.1
,"30-34 years",8,335,23.9
,"35-39 years",6,354,16.9
,"40-44 years",".",337,"."
"Johnston","15-17 years",".",436,"."
,"18-19 years",12,360,33.3
,"20-24 years",51,693,73.6
,"25-29 years",46,629,73.1
,"30-34 years",24,623,38.5
,"35-39 years",8,597,13.4
,"40-44 years",".",642,"."
"Kay","10-14 years",".",3105,"."
,"15-17 years",28,1863,15.0
,"18-19 years",58,1203,48.2
,"20-24 years",233,2910,80.1
,"25-29 years",173,2506,69.0
,"30-34 years",112,2775,40.4
,"35-39 years",29,2503,11.6
,"40-44 years",8,2453,3.3
"Kingfisher","15-17 years",".",665,"."
,"18-19 years",16,362,44.2
,"20-24 years",65,862,75.4
,"25-29 years",65,845,76.9
,"30-34 years",38,956,39.7
,"35-39 years",18,896,20.1
,"40-44 years",".",885,"."
"Kiowa","15-17 years",5,391,12.8
,"18-19 years",11,211,52.1
,"20-24 years",29,489,59.3
,"25-29 years",39,513,76.0
,"30-34 years",22,546,40.3
,"35-39 years",".",486,"."
"Latimer","15-17 years",".",433,"."
,"18-19 years",9,360,25.0
,"20-24 years",39,802,48.6
,"25-29 years",23,584,39.4
,"30-34 years",14,608,23.0
,"35-39 years",".",504,"."
"Le Flore","10-14 years",".",3537,"."
,"15-17 years",22,2042,10.8
,"18-19 years",58,1260,46.0
,"20-24 years",256,3117,82.1
,"25-29 years",177,2929,60.4
,"30-34 years",105,3092,34.0
,"35-39 years",38,2972,12.8
,"40-44 years",5,3036,1.6
,"Unknown Age",".",".","."
"Lincoln","15-17 years",12,1495,8.0
,"18-19 years",38,823,46.2
,"20-24 years",156,1886,82.7
,"25-29 years",124,1715,72.3
,"30-34 years",60,1887,31.8
,"35-39 years",20,1881,10.6
,"40-44 years",7,2106,3.3
"Logan","10-14 years",".",3058,"."
,"15-17 years",9,1893,4.8
,"18-19 years",21,1796,11.7
,"20-24 years",111,3004,37.0
,"25-29 years",142,2349,60.5
,"30-34 years",129,2719,47.4
,"35-39 years",50,2645,18.9
,"40-44 years",10,2822,3.5
"Love","10-14 years",".",666,"."
,"15-17 years",".",390,"."
,"18-19 years",8,221,36.2
,"20-24 years",41,547,75.0
,"25-29 years",33,536,61.6
,"30-34 years",25,581,43.0
,"35-39 years",10,512,19.5
"McClain","10-14 years",".",2706,"."
,"15-17 years",8,1682,4.8
,"18-19 years",23,880,26.1
,"20-24 years",101,2011,50.2
,"25-29 years",126,1911,65.9
,"30-34 years",102,2373,43.0
,"35-39 years",31,2314,13.4
,"40-44 years",10,2415,4.1
,"45-54 years",".",5221,"."
"McCurtain","10-14 years",".",2340,"."
,"15-17 years",20,1486,13.5
,"18-19 years",64,799,80.1
,"20-24 years",201,2016,99.7
,"25-29 years",131,1761,74.4
,"30-34 years",60,1953,30.7
,"35-39 years",18,1863,9.7
,"40-44 years",".",2004,"."
"McIntosh","15-17 years",8,762,10.5
,"18-19 years",22,433,50.8
,"20-24 years",97,990,98.0
,"25-29 years",51,921,55.4
,"30-34 years",37,1000,37.0
,"35-39 years",18,933,19.3
,"40-44 years",".",1122,"."
"Major","15-17 years",".",283,"."
,"18-19 years",".",163,"."
,"20-24 years",29,395,73.4
,"25-29 years",35,379,92.3
,"30-34 years",28,489,57.3
,"35-39 years",11,378,29.1
,"40-44 years",".",407,"."
"Marshall","15-17 years",6,609,9.9
,"18-19 years",15,369,40.7
,"20-24 years",70,837,83.6
,"25-29 years",42,811,51.8
,"30-34 years",29,843,34.4
,"35-39 years",8,843,9.5
,"40-44 years",".",905,"."
"Mayes","10-14 years",".",2870,"."
,"15-17 years",14,1840,7.6
,"18-19 years",54,996,54.2
,"20-24 years",194,2438,79.6
,"25-29 years",152,2282,66.6
,"30-34 years",74,2448,30.2
,"35-39 years",21,2302,9.1
,"40-44 years",".",2507,"."
,"Unknown Age",".",".","."
"Murray","10-14 years",".",953,"."
,"15-17 years",6,547,11.0
,"18-19 years",13,283,45.9
,"20-24 years",61,740,82.4
,"25-29 years",56,723,77.5
,"30-34 years",23,849,27.1
,"35-39 years",5,707,7.1
"Muskogee","10-14 years",".",4783,"."
,"15-17 years",40,2752,14.5
,"18-19 years",77,1866,41.3
,"20-24 years",316,4618,68.4
,"25-29 years",266,4456,59.7
,"30-34 years",160,4661,34.3
,"35-39 years",42,4188,10.0
,"40-44 years",10,4226,2.4
,"45-54 years",".",9120,"."
"Noble","15-17 years",".",478,"."
,"18-19 years",10,236,42.4
,"20-24 years",46,593,77.6
,"25-29 years",48,654,73.4
,"30-34 years",22,679,32.4
,"35-39 years",12,641,18.7
"Nowata","18-19 years",9,264,34.1
,"20-24 years",48,603,79.6
,"25-29 years",35,579,60.4
,"30-34 years",20,594,33.7
,"35-39 years",".",525,"."
,"40-44 years",".",642,"."
"Okfuskee","15-17 years",8,529,15.1
,"18-19 years",14,269,52.0
,"20-24 years",53,712,74.4
,"25-29 years",48,729,65.8
,"30-34 years",21,793,26.5
,"35-39 years",10,713,14.0
,"40-44 years",5,821,6.1
"Oklahoma","10-14 years",14,50620,0.3
,"15-17 years",353,28294,12.5
,"18-19 years",819,18250,44.9
,"20-24 years",3230,55859,57.8
,"25-29 years",3773,62237,60.6
,"30-34 years",2978,57694,51.6
,"35-39 years",1072,47900,22.4
,"40-44 years",205,46080,4.4
,"45-54 years",10,94181,0.1
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2744,"."
,"15-17 years",13,1588,8.2
,"18-19 years",62,1170,53.0
,"20-24 years",175,2863,61.1
,"25-29 years",144,2229,64.6
,"30-34 years",83,2328,35.7
,"35-39 years",23,2068,11.1
,"40-44 years",".",2251,"."
"Osage","15-17 years",17,1982,8.6
,"18-19 years",36,1064,33.8
,"20-24 years",170,2673,63.6
,"25-29 years",116,2493,46.5
,"30-34 years",66,2749,24.0
,"35-39 years",34,2607,13.0
,"40-44 years",".",2824,"."
,"45-54 years",".",6918,"."
"Ottawa","15-17 years",19,1335,14.2
,"18-19 years",46,1024,44.9
,"20-24 years",170,2286,74.4
,"25-29 years",133,1740,76.4
,"30-34 years",69,1855,37.2
,"35-39 years",36,1797,20.0
,"40-44 years",7,1889,3.7
,"Unknown Age",".",".","."
"Pawnee","15-17 years",9,752,12.0
,"18-19 years",12,378,31.7
,"20-24 years",70,923,75.8
,"25-29 years",59,830,71.1
,"30-34 years",23,915,25.1
,"35-39 years",15,911,16.5
,"40-44 years",".",1023,"."
"Payne","10-14 years",".",4095,"."
,"15-17 years",19,2271,8.4
,"18-19 years",45,5178,8.7
,"20-24 years",256,17064,15.0
,"25-29 years",294,5928,49.6
,"30-34 years",200,5057,39.5
,"35-39 years",64,3967,16.1
,"40-44 years",12,3525,3.4
,"45-54 years",".",7497,"."
"Pittsburg","10-14 years",".",2695,"."
,"15-17 years",23,1638,14.0
,"18-19 years",48,939,51.1
,"20-24 years",190,2733,69.5
,"25-29 years",174,2949,59.0
,"30-34 years",84,2884,29.1
,"35-39 years",29,2717,10.7
,"40-44 years",5,2613,1.9
,"Unknown Age",".",".","."
"Pontotoc","10-14 years",".",2378,"."
,"15-17 years",17,1381,12.3
,"18-19 years",41,1262,32.5
,"20-24 years",202,3411,59.2
,"25-29 years",169,2842,59.5
,"30-34 years",83,2434,34.1
,"35-39 years",37,2094,17.7
,"40-44 years",8,2141,3.7
"Pottawatomie","10-14 years",".",4948,"."
,"15-17 years",32,2874,11.1
,"18-19 years",89,2082,42.7
,"20-24 years",306,5026,60.9
,"25-29 years",261,4523,57.7
,"30-34 years",161,4552,35.4
,"35-39 years",47,4172,11.3
,"40-44 years",17,4511,3.8
,"45-54 years",".",9379,"."
"Pushmataha","15-17 years",".",421,"."
,"18-19 years",16,248,64.5
,"20-24 years",59,604,97.7
,"25-29 years",36,587,61.3
,"30-34 years",22,609,36.1
,"35-39 years",9,524,17.2
,"40-44 years",".",604,"."
"Roger Mills","15-17 years",".",134,"."
,"18-19 years",".",71,"."
,"20-24 years",17,159,106.9
,"25-29 years",11,208,52.9
,"30-34 years",17,261,65.1
,"35-39 years",6,203,29.6
,"40-44 years",".",197,"."
"Rogers","10-14 years",".",6749,"."
,"15-17 years",26,4183,6.2
,"18-19 years",82,2331,35.2
,"20-24 years",336,5788,58.1
,"25-29 years",305,5018,60.8
,"30-34 years",209,5305,39.4
,"35-39 years",64,5095,12.6
,"40-44 years",15,6013,2.5
,"45-54 years",".",12924,"."
,"Unknown Age",".",".","."
"Seminole","15-17 years",11,1107,9.9
,"18-19 years",34,711,47.8
,"20-24 years",132,1578,83.7
,"25-29 years",90,1342,67.1
,"30-34 years",55,1516,36.3
,"35-39 years",12,1447,8.3
,"40-44 years",6,1428,4.2
"Sequoyah","10-14 years",".",2972,"."
,"15-17 years",15,1859,8.1
,"18-19 years",55,1066,51.6
,"20-24 years",179,2455,72.9
,"25-29 years",139,2291,60.7
,"30-34 years",71,2386,29.8
,"35-39 years",27,2451,11.0
,"40-44 years",6,2715,2.2
,"Unknown Age",".",".","."
"Stephens","10-14 years",".",3082,"."
,"15-17 years",19,1842,10.3
,"18-19 years",48,964,49.8
,"20-24 years",184,2635,69.8
,"25-29 years",165,2675,61.7
,"30-34 years",88,2780,31.7
,"35-39 years",38,2557,14.9
,"40-44 years",10,2523,4.0
,"45-54 years",".",5915,"."
"Texas","15-17 years",15,943,15.9
,"18-19 years",25,694,36.0
,"20-24 years",118,1862,63.4
,"25-29 years",109,1660,65.7
,"30-34 years",50,1607,31.1
,"35-39 years",33,1487,22.2
,"40-44 years",11,1438,7.6
,"45-54 years",".",2615,"."
"Tillman","15-17 years",".",324,"."
,"18-19 years",6,183,32.8
,"20-24 years",37,465,79.6
,"25-29 years",33,442,74.7
,"30-34 years",11,432,25.5
,"35-39 years",5,391,12.8
"Tulsa","10-14 years",14,43038,0.3
,"15-17 years",217,24836,8.7
,"18-19 years",512,15223,33.6
,"20-24 years",2444,43896,55.7
,"25-29 years",2759,45958,60.0
,"30-34 years",2264,45265,50.0
,"35-39 years",851,40143,21.2
,"40-44 years",173,40241,4.3
,"45-54 years",8,80388,0.1
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",5751,"."
,"15-17 years",22,3228,6.8
,"18-19 years",45,1721,26.1
,"20-24 years",209,4111,50.8
,"25-29 years",249,4379,56.9
,"30-34 years",234,5154,45.4
,"35-39 years",72,4859,14.8
,"40-44 years",16,5192,3.1
"Washington","15-17 years",9,2014,4.5
,"18-19 years",39,1208,32.3
,"20-24 years",187,3179,58.8
,"25-29 years",209,3105,67.3
,"30-34 years",135,3148,42.9
,"35-39 years",36,2780,12.9
,"40-44 years",10,3024,3.3
"Washita","15-17 years",5,512,9.8
,"18-19 years",7,240,29.2
,"20-24 years",46,658,69.9
,"25-29 years",57,728,78.3
,"30-34 years",32,792,40.4
,"35-39 years",".",656,"."
,"40-44 years",".",609,"."
"Woods","15-17 years",".",256,"."
,"18-19 years",8,429,18.6
,"20-24 years",34,1212,28.1
,"25-29 years",36,696,51.7
,"30-34 years",14,556,25.2
,"35-39 years",6,482,12.4
,"40-44 years",".",387,"."
"Woodward","10-14 years",".",1407,"."
,"15-17 years",18,808,22.3
,"18-19 years",29,460,63.0
,"20-24 years",112,1437,77.9
,"25-29 years",94,1616,58.2
,"30-34 years",58,1599,36.3
,"35-39 years",18,1371,13.1
,"40-44 years",5,1279,3.9

Year 2014
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","10-14 years",".",".","."
,"15-17 years",5,".","."
,"18-19 years",17,".","."
,"20-24 years",41,".","."
,"25-29 years",61,".","."
,"30-34 years",16,".","."
,"35-39 years",10,".","."
,"40-44 years",".",".","."
,"Unknown Age",".",".","."
"Adair","15-17 years",14,1060,13.2
,"18-19 years",48,568,84.5
,"20-24 years",131,1464,89.5
,"25-29 years",82,1200,68.3
,"30-34 years",45,1333,33.8
,"35-39 years",15,1318,11.4
,"40-44 years",5,1416,3.5
,"Unknown Age",".",".","."
"Alfalfa","15-17 years",".",208,"."
,"18-19 years",5,101,49.5
,"20-24 years",14,260,53.8
,"25-29 years",21,314,66.9
,"30-34 years",12,324,37.0
,"35-39 years",".",424,"."
"Atoka","10-14 years",".",894,"."
,"15-17 years",8,529,15.1
,"18-19 years",12,281,42.7
,"20-24 years",67,881,76.0
,"25-29 years",44,870,50.6
,"30-34 years",24,863,27.8
,"35-39 years",9,815,11.0
,"40-44 years",".",828,"."
"Beaver","15-17 years",".",243,"."
,"18-19 years",".",121,"."
,"20-24 years",17,312,54.5
,"25-29 years",20,269,74.3
,"30-34 years",15,313,47.9
,"35-39 years",9,314,28.7
,"40-44 years",".",321,"."
,"Unknown Age",".",".","."
"Beckham","10-14 years",".",1501,"."
,"15-17 years",15,854,17.6
,"18-19 years",33,519,63.6
,"20-24 years",126,1754,71.8
,"25-29 years",103,1948,52.9
,"30-34 years",61,1904,32.0
,"35-39 years",19,1540,12.3
,"40-44 years",".",1391,"."
"Blaine","15-17 years",".",387,"."
,"18-19 years",7,216,32.4
,"20-24 years",60,580,103.4
,"25-29 years",51,500,102.0
,"30-34 years",39,547,71.3
,"35-39 years",7,504,13.9
,"40-44 years",".",507,"."
"Bryan","10-14 years",".",2852,"."
,"15-17 years",15,1750,8.6
,"18-19 years",57,1187,48.0
,"20-24 years",199,3317,60.0
,"25-29 years",197,3263,60.4
,"30-34 years",81,2833,28.6
,"35-39 years",25,2559,9.8
,"40-44 years",9,2621,3.4
,"Unknown Age",5,".","."
"Caddo","10-14 years",".",2083,"."
,"15-17 years",14,1222,11.5
,"18-19 years",27,705,38.3
,"20-24 years",144,1836,78.4
,"25-29 years",131,1982,66.1
,"30-34 years",70,1932,36.2
,"35-39 years",18,1710,10.5
,"40-44 years",5,1749,2.9
"Canadian","15-17 years",21,5682,3.7
,"18-19 years",90,2865,31.4
,"20-24 years",342,7238,47.3
,"25-29 years",615,8853,69.5
,"30-34 years",470,10210,46.0
,"35-39 years",157,9327,16.8
,"40-44 years",37,9159,4.0
,"Unknown Age",".",".","."
"Carter","10-14 years",".",3513,"."
,"15-17 years",23,2115,10.9
,"18-19 years",58,1022,56.8
,"20-24 years",225,2953,76.2
,"25-29 years",207,2956,70.0
,"30-34 years",130,3086,42.1
,"35-39 years",43,3086,13.9
,"40-44 years",7,3028,2.3
"Cherokee","10-14 years",".",2987,"."
,"15-17 years",20,1993,10.0
,"18-19 years",34,1964,17.3
,"20-24 years",183,5421,33.8
,"25-29 years",165,2782,59.3
,"30-34 years",107,3004,35.6
,"35-39 years",36,2595,13.9
,"40-44 years",9,2695,3.3
,"Unknown Age",".",".","."
"Choctaw","15-17 years",".",616,"."
,"18-19 years",22,315,69.8
,"20-24 years",70,846,82.7
,"25-29 years",56,815,68.7
,"30-34 years",17,810,21.0
,"35-39 years",10,825,12.1
,"40-44 years",".",849,"."
,"Unknown Age",".",".","."
"Cimarron","18-19 years",".",38,"."
,"20-24 years",9,117,76.9
,"25-29 years",9,116,77.6
,"30-34 years",".",111,"."
,"35-39 years",".",93,"."
,"40-44 years",".",140,"."
,"Unknown Age",".",".","."
"Cleveland","15-17 years",40,10082,4.0
,"18-19 years",131,9677,13.5
,"20-24 years",652,30694,21.2
,"25-29 years",1043,20123,51.8
,"30-34 years",849,20734,40.9
,"35-39 years",292,17280,16.9
,"40-44 years",47,16594,2.8
,"45-54 years",".",32652,"."
,"Unknown Age",".",".","."
"Coal","15-17 years",".",251,"."
,"18-19 years",10,149,67.1
,"20-24 years",14,359,39.0
,"25-29 years",14,286,49.0
,"30-34 years",13,282,46.1
,"35-39 years",7,329,21.3
,"40-44 years",".",316,"."
"Comanche","15-17 years",33,4610,7.2
,"18-19 years",135,4200,32.1
,"20-24 years",646,12154,53.2
,"25-29 years",566,10951,51.7
,"30-34 years",364,10180,35.8
,"35-39 years",127,7877,16.1
,"40-44 years",23,7354,3.1
,"45-54 years",".",14765,"."
,"Unknown Age",".",".","."
"Cotton","15-17 years",".",290,"."
,"18-19 years",8,132,60.6
,"20-24 years",22,361,60.9
,"25-29 years",20,302,66.2
,"30-34 years",11,359,30.6
,"35-39 years",5,328,15.2
,"Unknown Age",".",".","."
"Craig","15-17 years",5,558,9.0
,"18-19 years",16,339,47.2
,"20-24 years",67,861,77.8
,"25-29 years",58,844,68.7
,"30-34 years",30,814,36.9
,"35-39 years",6,855,7.0
,"40-44 years",".",882,"."
"Creek","10-14 years",".",5024,"."
,"15-17 years",24,3078,7.8
,"18-19 years",70,1550,45.2
,"20-24 years",285,4186,68.1
,"25-29 years",276,3979,69.4
,"30-34 years",149,4220,35.3
,"35-39 years",75,4052,18.5
,"40-44 years",".",4434,"."
,"45-54 years",".",9703,"."
"Custer","10-14 years",".",1921,"."
,"15-17 years",17,1080,15.7
,"18-19 years",45,1176,38.3
,"20-24 years",152,3905,38.9
,"25-29 years",132,2167,60.9
,"30-34 years",77,1998,38.5
,"35-39 years",29,1520,19.1
,"40-44 years",".",1449,"."
,"Unknown Age",".",".","."
"Delaware","15-17 years",14,1652,8.5
,"18-19 years",44,889,49.5
,"20-24 years",148,2186,67.7
,"25-29 years",110,2006,54.8
,"30-34 years",62,1987,31.2
,"35-39 years",20,2042,9.8
,"40-44 years",".",2322,"."
"Dewey","18-19 years",".",107,"."
,"20-24 years",17,269,63.2
,"25-29 years",13,256,50.8
,"30-34 years",11,285,38.6
,"35-39 years",".",267,"."
,"40-44 years",".",237,"."
,"45-54 years",".",615,"."
"Ellis","15-17 years",5,168,29.8
,"18-19 years",".",85,"."
,"20-24 years",14,209,67.0
,"25-29 years",18,169,106.5
,"30-34 years",9,229,39.3
,"35-39 years",".",267,"."
"Garfield","10-14 years",".",4221,"."
,"15-17 years",30,2424,12.4
,"18-19 years",65,1368,47.5
,"20-24 years",285,4353,65.5
,"25-29 years",290,4479,64.7
,"30-34 years",230,4514,51.0
,"35-39 years",65,3688,17.6
,"40-44 years",10,3378,3.0
,"Unknown Age",".",".","."
"Garvin","15-17 years",7,1104,6.3
,"18-19 years",36,633,56.9
,"20-24 years",145,1609,90.1
,"25-29 years",103,1587,64.9
,"30-34 years",70,1841,38.0
,"35-39 years",23,1570,14.6
,"40-44 years",6,1686,3.6
,"45-54 years",".",3459,"."
"Grady","10-14 years",".",3857,"."
,"15-17 years",16,2331,6.9
,"18-19 years",52,1306,39.8
,"20-24 years",154,3256,47.3
,"25-29 years",196,3122,62.8
,"30-34 years",127,3556,35.7
,"35-39 years",46,3324,13.8
,"40-44 years",11,3460,3.2
"Grant","18-19 years",".",91,"."
,"20-24 years",17,217,78.3
,"25-29 years",20,229,87.3
,"30-34 years",8,236,33.9
,"35-39 years",".",237,"."
"Greer","15-17 years",".",193,"."
,"18-19 years",7,104,67.3
,"20-24 years",24,389,61.7
,"25-29 years",23,523,44.0
,"30-34 years",15,487,30.8
,"35-39 years",".",402,"."
"Harmon","15-17 years",".",112,"."
,"18-19 years",".",64,"."
,"20-24 years",".",157,"."
,"25-29 years",12,154,77.9
,"30-34 years",11,181,60.8
,"35-39 years",".",126,"."
"Harper","10-14 years",".",277,"."
,"18-19 years",5,81,61.7
,"20-24 years",13,230,56.5
,"25-29 years",15,171,87.7
,"30-34 years",7,266,26.3
,"35-39 years",".",233,"."
,"40-44 years",".",182,"."
"Haskell","15-17 years",9,572,15.7
,"18-19 years",8,290,27.6
,"20-24 years",67,750,89.3
,"25-29 years",46,705,65.2
,"30-34 years",28,748,37.4
,"35-39 years",8,728,11.0
,"40-44 years",".",710,"."
"Hughes","15-17 years",".",570,"."
,"18-19 years",16,287,55.7
,"20-24 years",53,887,59.8
,"25-29 years",42,853,49.2
,"30-34 years",19,951,20.0
,"35-39 years",9,834,10.8
,"40-44 years",".",862,"."
"Jackson","15-17 years",13,984,13.2
,"18-19 years",27,657,41.1
,"20-24 years",120,2117,56.7
,"25-29 years",138,2026,68.1
,"30-34 years",74,1811,40.9
,"35-39 years",28,1522,18.4
,"40-44 years",7,1455,4.8
"Jefferson","15-17 years",".",257,"."
,"18-19 years",5,120,41.7
,"20-24 years",30,337,89.0
,"25-29 years",22,329,66.9
,"30-34 years",9,327,27.5
,"35-39 years",".",336,"."
"Johnston","15-17 years",5,444,11.3
,"18-19 years",16,359,44.6
,"20-24 years",49,686,71.4
,"25-29 years",44,641,68.6
,"30-34 years",19,636,29.9
,"35-39 years",6,605,9.9
,"40-44 years",".",629,"."
"Kay","15-17 years",27,1881,14.4
,"18-19 years",46,1154,39.9
,"20-24 years",226,2973,76.0
,"25-29 years",172,2484,69.2
,"30-34 years",84,2745,30.6
,"35-39 years",28,2613,10.7
,"40-44 years",9,2411,3.7
"Kingfisher","15-17 years",".",714,"."
,"18-19 years",10,359,27.9
,"20-24 years",71,902,78.7
,"25-29 years",67,850,78.8
,"30-34 years",47,993,47.3
,"35-39 years",24,880,27.3
,"40-44 years",".",912,"."
,"45-54 years",".",2088,"."
"Kiowa","15-17 years",".",410,"."
,"18-19 years",9,195,46.2
,"20-24 years",50,514,97.3
,"25-29 years",45,490,91.8
,"30-34 years",15,554,27.1
,"35-39 years",7,479,14.6
"Latimer","15-17 years",".",434,"."
,"18-19 years",5,348,14.4
,"20-24 years",49,792,61.9
,"25-29 years",39,566,68.9
,"30-34 years",22,623,35.3
,"35-39 years",5,517,9.7
,"40-44 years",".",580,"."
"Le Flore","10-14 years",".",3516,"."
,"15-17 years",27,2038,13.2
,"18-19 years",58,1233,47.0
,"20-24 years",234,3091,75.7
,"25-29 years",197,2962,66.5
,"30-34 years",100,3032,33.0
,"35-39 years",35,2992,11.7
,"40-44 years",9,3052,2.9
"Lincoln","15-17 years",8,1536,5.2
,"18-19 years",20,793,25.2
,"20-24 years",170,1937,87.8
,"25-29 years",113,1777,63.6
,"30-34 years",79,1940,40.7
,"35-39 years",27,1909,14.1
,"40-44 years",11,2101,5.2
"Logan","10-14 years",".",3126,"."
,"15-17 years",6,1918,3.1
,"18-19 years",22,1821,12.1
,"20-24 years",119,3111,38.3
,"25-29 years",160,2348,68.1
,"30-34 years",140,2834,49.4
,"35-39 years",47,2666,17.6
,"40-44 years",9,2909,3.1
,"45-54 years",".",6009,"."
"Love","15-17 years",".",413,"."
,"18-19 years",14,214,65.4
,"20-24 years",31,576,53.8
,"25-29 years",31,540,57.4
,"30-34 years",19,621,30.6
,"35-39 years",13,517,25.1
,"40-44 years",".",540,"."
"McClain","15-17 years",10,1626,6.2
,"18-19 years",31,890,34.8
,"20-24 years",97,2050,47.3
,"25-29 years",134,2052,65.3
,"30-34 years",94,2433,38.6
,"35-39 years",48,2413,19.9
,"40-44 years",".",2453,"."
"McCurtain","10-14 years",".",2323,"."
,"15-17 years",14,1456,9.6
,"18-19 years",51,775,65.8
,"20-24 years",196,2045,95.8
,"25-29 years",111,1829,60.7
,"30-34 years",69,1917,36.0
,"35-39 years",20,1876,10.7
,"40-44 years",".",1955,"."
,"Unknown Age",7,".","."
"McIntosh","15-17 years",8,735,10.9
,"18-19 years",15,429,35.0
,"20-24 years",75,982,76.4
,"25-29 years",52,910,57.1
,"30-34 years",31,995,31.2
,"35-39 years",16,918,17.4
,"40-44 years",".",1078,"."
,"Unknown Age",".",".","."
