"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"18-19 years",40,643,62.2
,"20-24 years",144,1480,97.3
,"25-29 years",94,1676,56.1
,"30-34 years",51,1578,32.3
,"35-39 years",19,1684,11.3
,"40-44 years",".",1664,"."
"Grady","10-14 years",".",3755,"."
,"15-17 years",22,2202,10.0
,"18-19 years",50,1405,35.6
,"20-24 years",191,3124,61.1
,"25-29 years",195,3232,60.3
,"30-34 years",104,3197,32.5
,"35-39 years",38,3248,11.7
,"40-44 years",5,3325,1.5
"Grant","15-17 years",".",206,"."
,"18-19 years",".",105,"."
,"20-24 years",9,184,48.9
,"25-29 years",19,200,95.0
,"30-34 years",11,224,49.1
,"35-39 years",".",224,"."
,"40-44 years",".",248,"."
"Greer","15-17 years",".",208,"."
,"18-19 years",8,121,66.1
,"20-24 years",29,398,72.9
,"25-29 years",21,528,39.8
,"30-34 years",".",437,"."
,"35-39 years",".",395,"."
"Harmon","10-14 years",".",175,"."
,"15-17 years",".",125,"."
,"18-19 years",".",79,"."
,"20-24 years",18,144,125.0
,"25-29 years",11,168,65.5
,"30-34 years",8,162,49.4
,"40-44 years",".",157,"."
"Harper","15-17 years",".",153,"."
,"18-19 years",".",92,"."
,"20-24 years",16,148,108.1
,"25-29 years",26,253,102.8
,"30-34 years",9,228,39.5
,"40-44 years",".",188,"."
"Haskell","15-17 years",".",566,"."
,"18-19 years",18,297,60.6
,"20-24 years",74,694,106.6
,"25-29 years",34,724,47.0
,"30-34 years",11,712,15.4
,"35-39 years",".",724,"."
,"40-44 years",".",764,"."
"Hughes","15-17 years",".",553,"."
,"18-19 years",23,355,64.8
,"20-24 years",44,763,57.7
,"25-29 years",42,923,45.5
,"30-34 years",13,920,14.1
,"35-39 years",10,928,10.8
,"40-44 years",".",826,"."
,"Unknown Age",".",".","."
"Jackson","10-14 years",".",1793,"."
,"15-17 years",20,1160,17.2
,"18-19 years",46,788,58.4
,"20-24 years",143,2063,69.3
,"25-29 years",125,1887,66.2
,"30-34 years",77,1735,44.4
,"35-39 years",18,1617,11.1
,"40-44 years",10,1579,6.3
"Jefferson","10-14 years",".",433,"."
,"15-17 years",".",260,"."
,"18-19 years",".",151,"."
,"20-24 years",30,331,90.6
,"25-29 years",17,315,54.0
,"30-34 years",15,352,42.6
,"35-39 years",".",354,"."
,"40-44 years",".",349,"."
"Johnston","10-14 years",".",729,"."
,"15-17 years",".",468,"."
,"18-19 years",17,353,48.2
,"20-24 years",51,686,74.3
,"25-29 years",44,619,71.1
,"30-34 years",16,596,26.8
,"35-39 years",7,609,11.5
,"40-44 years",".",668,"."
"Kay","15-17 years",36,1993,18.1
,"18-19 years",81,1327,61.0
,"20-24 years",221,2607,84.8
,"25-29 years",158,2703,58.5
,"30-34 years",102,2777,36.7
,"35-39 years",33,2387,13.8
,"40-44 years",8,2587,3.1
"Kingfisher","15-17 years",".",681,"."
,"18-19 years",14,394,35.5
,"20-24 years",71,747,95.0
,"25-29 years",60,875,68.6
,"30-34 years",45,937,48.0
,"35-39 years",10,919,10.9
,"40-44 years",6,905,6.6
"Kiowa","10-14 years",".",648,"."
,"15-17 years",".",395,"."
,"18-19 years",12,224,53.6
,"20-24 years",37,483,76.6
,"25-29 years",31,511,60.7
,"30-34 years",15,504,29.8
,"35-39 years",".",521,"."
,"40-44 years",".",504,"."
"Latimer","15-17 years",6,491,12.2
,"18-19 years",18,421,42.8
,"20-24 years",57,708,80.5
,"25-29 years",42,615,68.3
,"30-34 years",17,584,29.1
,"35-39 years",9,590,15.3
,"40-44 years",".",650,"."
"Le Flore","10-14 years",".",3423,"."
,"15-17 years",39,2092,18.6
,"18-19 years",69,1434,48.1
,"20-24 years",259,3080,84.1
,"25-29 years",182,3087,59.0
,"30-34 years",93,3046,30.5
,"35-39 years",30,3021,9.9
,"40-44 years",9,3094,2.9
"Lincoln","15-17 years",15,1622,9.2
,"18-19 years",39,842,46.3
,"20-24 years",133,1734,76.7
,"25-29 years",125,1807,69.2
,"30-34 years",60,1847,32.5
,"35-39 years",24,1984,12.1
,"40-44 years",".",2189,"."
,"45-54 years",".",5353,"."
"Logan","15-17 years",11,1806,6.1
,"18-19 years",31,1812,17.1
,"20-24 years",151,2751,54.9
,"25-29 years",157,2453,64.0
,"30-34 years",97,2424,40.0
,"35-39 years",37,2605,14.2
,"40-44 years",6,2541,2.4
"Love","15-17 years",5,383,13.1
,"18-19 years",7,193,36.3
,"20-24 years",46,485,94.8
,"25-29 years",47,566,83.0
,"30-34 years",20,507,39.4
,"35-39 years",7,567,12.3
"McClain","15-17 years",8,1564,5.1
,"18-19 years",28,813,34.4
,"20-24 years",120,1621,74.0
,"25-29 years",156,2014,77.5
,"30-34 years",81,2149,37.7
,"35-39 years",38,2373,16.0
,"40-44 years",13,2352,5.5
"McCurtain","10-14 years",".",2458,"."
,"15-17 years",26,1480,17.6
,"18-19 years",70,895,78.2
,"20-24 years",190,1835,103.5
,"25-29 years",108,1870,57.8
,"30-34 years",57,1884,30.3
,"35-39 years",18,2038,8.8
,"40-44 years",5,2047,2.4
"McIntosh","15-17 years",8,792,10.1
,"18-19 years",26,428,60.7
,"20-24 years",73,892,81.8
,"25-29 years",58,1007,57.6
,"30-34 years",37,909,40.7
,"35-39 years",11,1027,10.7
,"40-44 years",".",1113,"."
"Major","15-17 years",7,291,24.1
,"18-19 years",".",163,"."
,"20-24 years",26,362,71.8
,"25-29 years",31,404,76.7
,"30-34 years",16,407,39.3
,"35-39 years",8,378,21.2
"Marshall","15-17 years",12,658,18.2
,"18-19 years",20,332,60.2
,"20-24 years",56,769,72.8
,"25-29 years",52,802,64.8
,"30-34 years",21,814,25.8
,"35-39 years",10,835,12.0
,"40-44 years",".",902,"."
,"45-54 years",".",2303,"."
"Mayes","15-17 years",19,1884,10.1
,"18-19 years",67,1081,62.0
,"20-24 years",177,2168,81.6
,"25-29 years",141,2360,59.7
,"30-34 years",70,2369,29.5
,"35-39 years",24,2464,9.7
,"40-44 years",".",2491,"."
"Murray","15-17 years",".",514,"."
,"18-19 years",27,314,86.0
,"20-24 years",48,679,70.7
,"25-29 years",52,795,65.4
,"30-34 years",21,730,28.8
,"35-39 years",10,824,12.1
,"40-44 years",6,773,7.8
,"45-54 years",".",1969,"."
"Muskogee","10-14 years",".",4884,"."
,"15-17 years",35,2870,12.2
,"18-19 years",111,2066,53.7
,"20-24 years",349,4520,77.2
,"25-29 years",274,4727,58.0
,"30-34 years",139,4571,30.4
,"35-39 years",42,4253,9.9
,"40-44 years",13,4206,3.1
"Noble","15-17 years",8,438,18.3
,"18-19 years",7,263,26.6
,"20-24 years",53,538,98.5
,"25-29 years",53,672,78.9
,"30-34 years",22,647,34.0
,"35-39 years",13,674,19.3
,"40-44 years",".",764,"."
"Nowata","15-17 years",".",481,"."
,"18-19 years",12,256,46.9
,"20-24 years",41,515,79.6
,"25-29 years",43,549,78.3
,"30-34 years",14,577,24.3
,"35-39 years",8,570,14.0
"Okfuskee","15-17 years",13,518,25.1
,"18-19 years",15,292,51.4
,"20-24 years",73,646,113.0
,"25-29 years",61,727,83.9
,"30-34 years",24,761,31.5
,"35-39 years",9,751,12.0
,"40-44 years",".",785,"."
"Oklahoma","10-14 years",38,47441,0.8
,"15-17 years",440,27697,15.9
,"18-19 years",940,19748,47.6
,"20-24 years",3398,54946,61.8
,"25-29 years",3587,59295,60.5
,"30-34 years",2527,50694,49.8
,"35-39 years",985,45772,21.5
,"40-44 years",221,43240,5.1
,"45-54 years",17,97799,0.2
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2736,"."
,"15-17 years",40,1697,23.6
,"18-19 years",81,1328,61.0
,"20-24 years",154,2569,59.9
,"25-29 years",158,2376,66.5
,"30-34 years",66,2222,29.7
,"35-39 years",21,2259,9.3
